Latitude,Longitude,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12,NDVI,EVI,SAVI,GNDVI,LAI,NDWI,MNDWI,NDMI,NDBI,ISA,BU,NDISI,NDBaI,BSI,DBSI,LSE,Albedo,SWIR1_NIR,SWIR2_NIR,red,green,blue,nir08,lwir11,NDVI_Landsat,emissivity,LST,elevation,UHI_Class,label
-33.58697979,-70.58050833,1868.0,2077.5,2293.5,2551.0,2744.0,3029.5,3142.5,3161.0,3190.5,3255.0,3113.0,0.10679271708683473,0.11834778728440332,0.16017505470459517,0.15904299202493355,0.7310365011237024,-0.15904299202493355,-0.17329007839956745,-0.014650872817955112,0.014650872817955112,-0.7587213482499784,-0.09214184426887961,0.07802279689785552,0.02229899497487437,0.05138304133279008,0.06649736131273272,0.986386115448358,0.27330839999999995,1.0297374248655162,0.9848149319835183,0.14397,0.1201825,0.09053749999999999,0.21339375000000002,39.79020227000001,0.1942663462648353,0.97,42.06537385248606,675.616943359375,Low,Chile
-33.59209917,-70.57948,1812.0,1873.5,2174.5,2424.5,2686.5,3112.5,3309.0,3244.0,3407.0,3285.5,3092.5,0.14457087412895828,0.14911115558871157,0.2168371846886576,0.19737934852819045,0.7983016212669732,-0.19737934852819045,-0.20347985347985348,-0.006355769967072517,0.006355769967072517,-0.9157767005933226,-0.13821510416188576,0.09113552708050816,0.03026026967701474,0.054721773262525975,0.0589089793508952,0.9861365505775479,0.26760904999999996,1.0127928483353572,0.9532983970406611,0.1347575,0.11700625,0.08844750000000001,0.22156125,39.313388480000015,0.24361263615793438,0.9860845360903397,40.35284059100297,682.5520629882812,Low,Chile
-33.59741944,-70.57836597,1869.0,2011.0,2264.0,2484.0,2721.5,2864.0,2975.0,3000.0,3029.5,3118.0,3019.5,0.09409190371991247,0.10061225285653004,0.14112498860424832,0.1398176291793313,0.7097199790211123,-0.1398176291793313,-0.15867707172054998,-0.01928734880679961,0.01928734880679961,-0.6597728706624605,-0.07480455491311286,0.0761310362679398,0.01604887983706721,0.05568642231225855,0.06458516800063752,0.9864985122158966,0.262227,1.0393333333332986,1.0064999999999664,0.13339625,0.11131374999999999,0.08765,0.19593125,43.373996240000025,0.18988696662137236,0.97,45.701770587725946,683.3760375976562,Medium,Chile
-33.59710917,-70.56666139,2385.5,2795.0,3039.5,3269.0,3393.5,3479.0,3530.0,3479.0,3490.5,4429.5,4560.5,0.03112033195020747,0.04327933720786448,0.04667703934207602,0.06742348699854261,0.6128662569721997,-0.06742348699854261,-0.18610255723657784,-0.12018714041853702,0.12018714041853702,0.588647785029869,0.08906680846832955,0.10172864071632881,-0.01457174638487208,0.10195025943818214,0.15498222528637037,0.9872675707680271,0.34045205,1.2732106927277587,1.3108651911468436,0.192645,0.16975125,0.1310175,0.23993125,37.975233650000035,0.10931309797983593,0.97,40.22399618030812,696.9663696289062,Low,Chile
-33.59707875,-70.56629625,2385.5,2795.0,3039.5,3269.0,3393.5,3479.0,3530.0,3479.0,3490.5,4429.5,4560.5,0.03112033195020747,0.04327933720786448,0.04667703934207602,0.06742348699854261,0.6128662569721997,-0.06742348699854261,-0.18610255723657784,-0.12018714041853702,0.12018714041853702,0.588647785029869,0.08906680846832955,0.10172864071632881,-0.01457174638487208,0.10195025943818214,0.15498222528637037,0.9872675707680271,0.34045205,1.2732106927277587,1.3108651911468436,0.192645,0.16975125,0.1310175,0.23993125,37.975233650000035,0.10931309797983593,0.97,40.22399618030812,697.1163330078125,Medium,Chile
-33.5913786,-70.54158267,1725.0,1878.5,2144.5,2403.0,2703.0,3078.5,3303.5,3374.0,3436.5,3328.5,2895.5,0.16808031850441404,0.17714775691897908,0.25209865858935526,0.22279604965117333,0.8432500244560388,-0.22279604965117333,-0.216334734149461,0.006788511749347258,-0.006788511749347258,-1.0841767711072403,-0.1748688302537613,0.1013317892298784,0.0695694087403599,0.04360888565185725,0.048254415645046955,0.9860452829363013,0.27130365,0.9865145228215475,0.8581802015411719,0.12454124999999999,0.10265125,0.0713975,0.22636,39.02627480000004,0.290163543162072,0.9863613095340239,40.04296806853648,721.1743774414062,Medium,Chile
-33.61193083,-70.56869021,2063.0,2109.5,2317.0,2537.0,2704.0,2954.5,3153.5,3194.5,3245.0,3334.0,3189.5,0.1147169152926808,0.1305055477263254,0.17206036287508722,0.1592125555656355,0.7446592814712533,-0.1592125555656355,-0.17996814723057866,-0.021367848663552118,0.021367848663552118,-0.6859626597078219,-0.09334906662912867,0.0815603795517829,0.022150685981451673,0.05073825503355705,0.06525123193789786,0.9863232535349865,0.27673744999999994,1.043668805759867,0.9984348098293631,0.15608375,0.13468875000000002,0.10270625,0.22064,41.22577067,0.17136230460649218,0.97,43.521940759720394,698.236328125,Low,Chile
-33.6163775,-70.57549292,2110.0,2250.0,2496.0,2753.5,3047.0,3311.0,3418.0,3320.5,3419.5,3928.0,3834.0,0.09334869937438262,0.10932017121042686,0.14001152358218782,0.14175191266225393,0.7084920444683274,-0.14175191266225393,-0.22291407222914073,-0.08381044354004277,0.08381044354004277,-0.05384004278541347,-0.009538255834339843,0.11230148429572642,0.012110280855449627,0.0906790728044401,0.1295653728547581,0.986505533330006,0.29894295,1.1829543743411781,1.1546453847311804,0.16177624999999998,0.13823625,0.10652874999999998,0.2268,40.475515280000025,0.167338456737899,0.97,42.76069902985756,692.3250732421875,Low,Chile
-33.61853858,-70.59034575,2159.5,2536.5,2768.0,3013.0,3165.0,3296.5,3348.0,3330.0,3383.5,3987.5,4037.0,0.049976351883966576,0.06399257120939904,0.07495861905887916,0.09216136438176452,0.6403924942970574,-0.09216136438176452,-0.18051957664125529,-0.08985309190297233,0.08985309190297233,0.2851812818462383,0.039876740019005756,0.09416445623342178,-0.00616860863605209,0.08813243180228492,0.13054322475728872,0.9870003153330685,0.31483754999999997,1.1974474474474115,1.2123123123122759,0.16762,0.1452625,0.11264750000000001,0.2285875,39.95084921,0.15387770297129663,0.97,42.22836579756927,676.3328857421875,Low,Chile
-33.61661095,-70.59057649,2209.0,2574.5,2800.5,3067.0,3219.0,3296.5,3345.5,3325.0,3352.5,4114.5,4262.0,0.04036295369211514,0.05193968554345419,0.06053969495502542,0.08562566321116644,0.6262076610020333,-0.08562566321116644,-0.19002169197396962,-0.10612272330129713,0.10612272330129713,0.4489160371094801,0.06575976960918198,0.09695623194845593,-0.017608786486002507,0.09800473969879979,0.14965873828185447,0.987132621624618,0.31940535,1.2374436090225192,1.2818045112781569,0.17497625,0.1513675,0.11816125,0.22746,39.810710390000025,0.13041506574022593,0.97,42.086181267093366,676.786376953125,Medium,Chile
